object_id,lmax,error
8062,4,7.110599666996465
8062,8,4.512620023974422
8062,12,3.4882173250318296
8062,16,2.9222674948033327
8062,20,2.565148360118904
8062,24,2.4383424728857848
8062,28,2.146895193989882
8062,32,2.0076542672209117
8062,36,1.8933083028604283
934,4,7.015390004867049
934,8,4.322955109242913
934,12,3.3328911640237413
934,16,2.810542761664471
934,20,2.5200252519060626
934,24,2.316647368342182
934,28,2.1440970387826455
934,32,2.0003945157943592
934,36,1.9284164963044717
2983,4,7.275881278640973
2983,8,4.621935816630958
2983,12,3.5622506487757297
2983,16,3.0118203166989965
2983,20,2.6396310287571505
2983,24,2.391200793657294
2983,28,2.2094310888917414
2983,32,2.140433984035891
2983,36,2.0072033020033886
3796,4,8.132770886304916
3796,8,4.894541903428769
3796,12,3.62383919822512
3796,16,3.104148905567103
3796,20,2.703490141345016
3796,24,2.453558401616304
3796,28,2.2453166894122814
3796,32,2.1143695560935263
3796,36,2.0021034083181233
5108,4,5.44742712296198
5108,8,3.583275168256576
5108,12,2.8970024002649457
5108,16,2.49809670141483
5108,20,2.2423500731076405
5108,24,2.054492162934497
5108,28,1.9203165050378441
5108,32,1.8169776002139904
5108,36,1.7332786540551353
8013,4,7.287371109482682
8013,8,4.601751028252247
8013,12,3.525694806283217
8013,16,2.988200137664996
8013,20,2.6353700151741815
8013,24,2.3947198206609546
8013,28,2.19738642273756
8013,32,2.1270823691641874
8013,36,2.0108237858915525
1074,4,7.877843663390018
1074,8,4.888225862833576
1074,12,3.7306969546833884
1074,16,3.0964593891122134
1074,20,2.7154583129741816
1074,24,2.4709700563139885
1074,28,2.294213852756278
1074,32,2.1903304306774487
1074,36,2.0567859655697793
2924,4,6.797497747943731
2924,8,4.168050537088621
2924,12,3.2692610552819814
2924,16,2.7740416202677682
2924,20,2.4431436967716533
2924,24,2.2073434362229865
2924,28,2.0651407198566383
2924,32,1.9283953177193822
2924,36,1.8269749058348703
729,4,6.474141813129057
729,8,4.004368384270754
729,12,3.0828756775301387
729,16,2.6857737356771607
729,20,2.366879128291004
729,24,2.1266982907286756
729,28,1.9829195684282719
729,32,1.8347244612700842
729,36,1.7512859734985988
3336,4,6.053829368750147
3336,8,3.8913534659820668
3336,12,2.946412829538374
3336,16,2.5787179501636937
3336,20,2.2982968592178823
3336,24,1.956954163603568
3336,28,1.8938766415051556
3336,32,1.7723556371347022
3336,36,1.6960554235693825
8265,4,7.166118379887829
8265,8,4.520343691659618
8265,12,3.4821359500284994
8265,16,2.954256492596082
8265,20,2.554808006393588
8265,24,2.298190068668425
8265,28,2.177151286483096
8265,32,2.042463091777986
8265,36,1.9543146088987071
6744,4,6.909416012672983
6744,8,4.50183122223621
6744,12,3.5103782147245854
6744,16,2.9522980570382784
6744,20,2.6218521709660583
6744,24,2.4124683822296538
6744,28,2.217459772756746
6744,32,2.0963973264424327
6744,36,1.9780712019975146
8314,4,7.190035459607624
8314,8,4.474638609734291
8314,12,3.433076829485656
8314,16,2.9179983490977235
8314,20,2.5646547749728077
8314,24,2.2735840112508443
8314,28,2.1618272114040082
8314,32,2.0285000928757437
8314,36,1.9260289224499065
5117,4,6.687682230272414
5117,8,4.114691219302441
5117,12,3.231536659440776
5117,16,2.656463533874545
5117,20,2.3757695206886855
5117,24,2.1876543162519764
5117,28,2.0548202182138207
5117,32,1.9212311195198777
5117,36,1.8369171830052153
3564,4,6.232421189897406
3564,8,3.883726496080764
3564,12,3.0506955897519505
3564,16,2.6281698307552377
3564,20,2.355383317217196
3564,24,2.1175033299223593
3564,28,1.9553441276024044
3564,32,1.81814470007785
3564,36,1.742028553559137
2179,4,6.904387687863737
2179,8,4.2609737553128015
2179,12,3.342937079808501
2179,16,2.826690900160667
2179,20,2.40585202731803
2179,24,2.2354868353715216
2179,28,2.0381695489263927
2179,32,1.9287998002892295
2179,36,1.8007900665088594
2440,4,6.831374115442468
2440,8,4.336871347793486
2440,12,3.3722449689761222
2440,16,2.852801342100632
2440,20,2.55811903267504
2440,24,2.3200209423103537
2440,28,2.1804861904798867
2440,32,2.0525175095382706
2440,36,1.9766702040516886
6854,4,6.5604609234904006
6854,8,4.201864274843773
6854,12,3.271068217857889
6854,16,2.714848573114939
6854,20,2.407790293379671
6854,24,2.230127319891091
6854,28,2.0843369413274746
6854,32,1.9642675103952825
6854,36,1.8726594947591797
5795,4,7.783968052538761
5795,8,4.614974930351865
5795,12,3.551960225848668
5795,16,2.982881680428965
5795,20,2.672740363825635
5795,24,2.39072983634858
5795,28,2.2113017283227996
5795,32,2.081783707295286
5795,36,1.9713177792016887
2935,4,6.438354254716043
2935,8,4.101585359293869
2935,12,3.1806351943781457
2935,16,2.6920429430471744
2935,20,2.3773949824074014
2935,24,2.201741956994781
2935,28,2.019165843774697
2935,32,1.8766602217135981
2935,36,1.8029865553194582
4083,4,6.09105381578221
4083,8,3.8932935722731434
4083,12,3.1028352765257026
4083,16,2.622816471508894
4083,20,2.381123991125071
4083,24,2.124741834826359
4083,28,1.9730841597925344
4083,32,1.8399354123458609
4083,36,1.7435256195617927
1226,4,8.212798894804592
1226,8,5.1721110688257355
1226,12,3.9844989116476515
1226,16,3.2771393059603966
1226,20,2.847811545078316
1226,24,2.6271160644716898
1226,28,2.4019758064966292
1226,32,2.23538106583127
1226,36,2.123885614542566
3028,4,7.102654040430658
3028,8,4.610701971519899
3028,12,3.4898368430951585
3028,16,2.9391668717169255
3028,20,2.6318685073853927
3028,24,2.3622144685617275
3028,28,2.191524155297028
3028,32,2.037740808159592
3028,36,1.9544064904485277
6884,4,7.037503634383809
6884,8,4.331714237124554
6884,12,3.4118855968973567
6884,16,2.9198992529020966
6884,20,2.593717470177252
6884,24,2.361262497237513
6884,28,2.193612273217067
6884,32,2.075141705987883
6884,36,1.9743132613923782
2246,4,6.619736327172577
2246,8,4.06911652353543
2246,12,3.1655042104576037
2246,16,2.7001170402889834
2246,20,2.403627621108731
2246,24,2.152808893050813
2246,28,2.0189682157602205
2246,32,1.9196255386193697
2246,36,1.8195875360359766
8071,4,6.537863105384382
8071,8,3.9944972449703258
8071,12,3.1449220975671524
8071,16,2.7039063307115647
8071,20,2.4848046870852842
8071,24,2.2131207819046694
8071,28,2.050554461778828
8071,32,1.9525377088902196
8071,36,1.853888871544644
6926,4,6.262370253268683
6926,8,3.930347893989845
6926,12,3.1160531250425207
6926,16,2.592112167917951
6926,20,2.3057451507937285
6926,24,2.166624178925947
6926,28,1.9955651302809703
6926,32,1.8552128592031307
6926,36,1.7671572955046626
8251,4,6.800683520624681
8251,8,4.160890797451951
8251,12,3.2069325625186242
8251,16,2.7671949300791394
8251,20,2.4777115632289877
8251,24,2.2087083715855855
8251,28,2.0583587553380327
8251,32,1.9213555871383916
8251,36,1.8481336239422599
8679,4,6.609216927742484
8679,8,4.13797706888339
8679,12,3.171653059762709
8679,16,2.6304649905721806
